CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,65,"3,921.15","4,025.40",390,"20,100.00","19,71,190",0.15,0.20,"11,77,540",-0.25,0.20,106.67,"44,187","-11,757","19,313",
,1,-,-,-,-,-,65,"3,868.45","4,166.25","1,690","20,150.00","21,060",0.20,0.30,"5,590",-0.20,0.30,105.31,"1,689",-442,895,
,1,-,-,-,-,-,65,"3,818.40","3,976.90","1,690","20,200.00","4,17,170",0.15,0.20,"2,46,740",-0.30,0.20,103.94,"12,734","-4,989","6,095",
,1,-,-,-,-,-,65,"3,767.60","3,936.40","1,690","20,250.00","7,735",0.25,0.30,"2,470",-0.20,0.30,105.91,945,150,564,
,2,-,-,-,-,-,65,"3,731.95","3,889.25","1,690","20,300.00","36,725",0.25,0.30,"4,355",-0.20,0.30,104.51,"3,691",-526,"1,073",
,1,-,-,-,-,-,65,"3,664.80","3,832.25","1,690","20,350.00",390,0.25,0.35,"3,770",-0.25,0.25,104.42,800,169,470,
,1,-,-,-,-,-,65,"3,624.55","3,768.85","1,690","20,400.00","2,860",0.20,0.35,"1,690",-0.20,0.30,101.72,"1,184",-317,436,
,1,-,-,-,-,-,65,"3,567.35","3,769.20",130,"20,450.00","5,005",0.25,0.30,"6,760",-0.20,0.30,100.33,842,-170,368,
,108,-22,62,-,"3,559.90",8.30,65,"3,578.35","3,599.75",65,"20,500.00","1,54,505",0.20,0.25,"29,445",-0.35,0.25,95.81,"16,170","-5,612","6,095",
,1,-,-,-,-,-,65,"3,470.85","3,600.30","1,690","20,550.00",260,0.25,0.35,"2,860",-0.25,0.25,96.13,840,241,487,
,1,-,-,-,-,-,65,"3,420.75","3,555.05","1,690","20,600.00","4,225",0.20,0.35,"1,755",-0.35,0.20,93.11,567,6,422,
,2,-,-,-,-,-,65,"3,376.55","3,466.65","1,690","20,650.00","2,600",0.25,0.30,"2,925",-0.25,0.30,93.40,960,109,547,
,2,-,-,-,-,-,65,"3,319.50","3,473.40","1,690","20,700.00","41,145",0.20,0.25,"15,015",-0.35,0.20,92.04,"2,316",-660,"1,597",
,1,-,-,-,-,-,65,"3,271.85","3,523.35","1,690","20,750.00",130,0.30,0.35,"2,405",-0.35,0.30,92.03,458,114,307,
,-,-,-,64.41,-,-,"1,690","2,994.10","3,332.20",390,"20,800.00","46,215",0.25,0.30,"34,840",-0.45,0.25,87.75,"8,508","-1,781","2,020",
,3,-,-,-,-,-,65,"3,171.25","3,277.75",390,"20,850.00","3,510",0.30,0.35,"3,640",-0.25,0.35,87.96,"1,155",-26,505,
,3,-,-,-,-,-,65,"3,129.55","3,234.25","1,690","20,900.00",130,0.30,0.35,"4,875",-0.40,0.30,86.60,"1,556",-357,728,
,2,-,-,-,-,-,65,"3,072.10","3,226.85","1,690","20,950.00",195,0.30,0.35,"5,460",-0.30,0.35,85.25,"1,204",-74,501,
,"2,034",-456,558,-,"3,075.05",21.60,65,"3,078.90","3,091.45",65,"21,000.00","4,48,565",0.20,0.25,"2,98,025",-0.50,0.25,83.90,"61,012","-15,955","22,427",
,3,-,-,-,-,-,65,"2,962.00","3,058.90",65,"21,050.00","4,160",0.25,0.40,"1,755",-0.45,0.25,82.55,843,4,534,
,4,-,-,-,-,-,65,"2,925.75","3,001.25",65,"21,100.00","56,030",0.25,0.30,"1,49,370",-0.45,0.30,81.20,"7,672","-2,005","3,706",
,4,-,-,-,-,-,65,"2,876.10","2,955.75",65,"21,150.00","2,340",0.30,0.40,"2,990",-0.35,0.30,79.86,705,46,408,
,4,-,-,-,-,-,65,"2,814.80","2,985.85","1,755","21,200.00","42,835",0.30,0.35,"55,185",-0.50,0.30,79.71,"9,880","-2,012","2,737",
,4,-,-,-,-,-,65,"2,777.65","2,876.20","1,755","21,250.00","12,870",0.25,0.30,"7,735",-0.45,0.30,77.17,"2,390",-381,"1,093",
