CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,8,-,-,74.83,-,-,780,"3,926.10","4,023.65",390,"20,100.00","20,19,680",0.15,0.20,"11,12,930",-0.25,0.20,106.85,"56,144","-12,674","18,396",
,1,-,-,-,-,-,780,"3,873.00","4,145.60","1,690","20,150.00","23,140",0.20,0.35,"2,015",-0.30,0.20,105.49,"1,758",-477,860,
,1,-,-,-,-,-,780,"3,826.75","3,953.25",780,"20,200.00","4,01,180",0.20,0.25,"1,22,785",-0.30,0.20,104.12,"14,577","-4,992","6,092",
,1,-,-,-,-,-,780,"3,770.60","3,907.65",780,"20,250.00","8,060",0.25,0.30,"1,495",-0.20,0.30,107.23,997,139,553,
,2,-,-,-,-,-,65,"3,733.95","3,861.45",780,"20,300.00","22,490",0.30,0.35,"12,610",-0.20,0.30,104.70,"4,049",-490,"1,109",
,1,-,-,-,-,-,780,"3,666.95","3,776.45",780,"20,350.00","3,315",0.20,0.35,"3,380",-0.25,0.25,101.80,843,187,488,
,1,-,-,-,-,-,780,"3,625.20","3,743.60",780,"20,400.00","3,965",0.25,0.40,"2,015",-0.15,0.35,100.43,"1,315",-307,446,
,1,-,-,-,-,-,780,"3,572.95","3,743.05",780,"20,450.00","2,795",0.20,0.35,"1,495",-0.15,0.35,101.80,882,-163,375,
,99,-31,65,-,"3,570.00",18.40,130,"3,577.05","3,589.80",130,"20,500.00","1,30,455",0.25,0.30,"32,695",-0.30,0.30,97.68,"16,634","-5,512","6,195",
,1,-,-,-,-,-,780,"3,474.35","3,586.30",780,"20,550.00",520,0.25,0.35,"1,885",-0.25,0.25,96.31,974,225,471,
,1,-,-,-,-,-,780,"3,422.50","3,523.65",780,"20,600.00","1,365",0.25,0.40,390,-0.25,0.30,96.36,643,16,432,
,2,-,-,-,-,-,780,"3,376.45","3,474.45",390,"20,650.00","1,625",0.25,0.45,"1,820",-0.30,0.25,93.58,984,79,517,
,2,-,-,-,-,-,780,"3,323.20","3,444.25",780,"20,700.00","50,570",0.30,0.35,"15,795",-0.20,0.35,93.59,"2,570",-681,"1,576",
,1,-,-,-,-,-,780,"3,274.15","3,365.70",780,"20,750.00","1,040",0.30,0.40,715,-0.35,0.30,92.22,561,130,323,
,-,-,-,64.41,-,-,780,"3,010.15","3,311.10",780,"20,800.00","31,395",0.25,0.35,"12,935",-0.45,0.25,89.50,"8,589","-1,751","2,050",
,3,-,-,-,-,-,780,"3,174.40","3,276.60",780,"20,850.00","1,365",0.30,0.40,910,-0.30,0.30,89.47,"1,240",-58,473,
,3,-,-,-,-,-,780,"3,130.35","3,220.40",780,"20,900.00","11,180",0.30,0.40,130,-0.40,0.30,90.26,"1,709",-352,733,
,2,-,-,-,-,-,780,"3,073.20","3,187.40",780,"20,950.00","1,950",0.30,0.35,65,-0.35,0.30,86.72,"1,269",-87,488,
,"1,993",-497,610,-,"3,075.15",21.70,130,"3,078.00","3,084.55",65,"21,000.00","5,05,505",0.35,0.40,"2,59,415",-0.40,0.35,86.47,"69,221","-20,295","18,087",
